constituency,party,candidate,votes,percent
Banbury,Conservative,Victoria Prentis,34148,54.3
Banbury,Labour,Suzette Watson,17335,27.6
Banbury,Liberal Democrats,Tim Bearder,8831,14
Banbury,Green,Ian Middleton,2607,4.1
Henley,Conservative,John Howell,32189,54.8
Henley,Liberal Democrats,Laura Coyle,18136,30.9
Henley,Labour,Zaid Marham,5698,9.7
Henley,Green,Jo Robb,2736,4.7
Oxford_East,Labour Co-op,Anneliese Dodds,28135,57
Oxford_East,Conservative,Louise Staite,10303,20.9
Oxford_East,Liberal Democrats,Alistair Fernie,6884,13.9
Oxford_East,Green,David Williams,2392,4.8
Oxford_East,Brexit Party,Roger Carter,1146,2.3
Oxford_East,Independent,David Henwood,238,0.5
Oxford_East,Independent,Chaka Artwell,143,0.3
Oxford_East,Independent,Phil Taylor,118,0.2
Oxford_West_and_Abingdon,Liberal Democrats,Layla Moran,31340,53.3
Oxford_West_and_Abingdon,Conservative,James Fredrickson,22397,38.1
Oxford_West_and_Abingdon,Labour,Rosie Sourbut,4258,7.2
Oxford_West_and_Abingdon,Brexit Party,Allison Wild,829,1.4
Wantage,Conservative,David Johnston,34085,50.7
Wantage,Liberal Democrats,Richard Benwell,21432,31.9
Wantage,Labour,Jonny Roberts,10181,15.2
Wantage,Independent,Mark Gray,1475,2.2
Witney,Conservative,Robert Courts,33856,55.2
Witney,Liberal Democrats,Charlotte Hoagland,18679,30.5
Witney,Labour Co-op,Rosa Bolger,8770,14.3
